Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,170.949997,173.050003,169.949997,172.250000,168.248337,9318790
2023-03-02,172.199997,172.199997,170.250000,170.800003,166.832031,7725981
2023-03-03,172.000000,175.000000,171.500000,172.600006,168.590210,12962719
2023-03-06,172.899994,177.500000,172.699997,176.800003,172.692627,12402804
2023-03-08,175.699997,179.149994,175.449997,178.850006,174.695007,22099710
2023-03-09,178.399994,182.199997,178.000000,179.449997,175.281067,18874546
2023-03-10,178.000000,181.000000,177.800003,180.750000,176.550858,12399692
2023-03-13,181.300003,181.550003,179.449997,179.699997,175.525253,13669178
2023-03-14,178.649994,181.000000,177.199997,177.899994,173.767059,9217542
2023-03-15,179.449997,179.550003,177.750000,178.199997,174.060104,8548173
2023-03-16,178.199997,180.000000,176.949997,179.600006,175.427597,9405016
2023-03-17,181.699997,181.699997,175.899994,176.949997,172.839142,47276890
2023-03-20,177.550003,177.550003,174.949997,176.000000,171.911209,5627841
2023-03-21,176.850006,177.550003,175.300003,177.100006,172.985672,12894327
2023-03-22,177.800003,177.800003,173.800003,174.350006,170.299561,7893205
2023-03-23,174.050003,175.850006,173.699997,174.600006,170.543747,5759884
2023-03-24,175.199997,175.199997,172.350006,172.699997,168.687881,4977283
2023-03-27,172.649994,173.949997,170.699997,171.250000,167.271576,12077986
2023-03-28,171.350006,173.000000,170.500000,172.000000,168.004150,8750986
2023-03-29,172.649994,175.399994,171.699997,174.000000,169.957672,20272070
2023-03-31,174.800003,177.250000,174.600006,175.100006,171.032120,8125121
2023-04-03,175.600006,178.100006,175.449997,177.800003,173.669403,9098662
2023-04-05,178.300003,178.300003,175.149994,175.899994,171.813538,10829323
2023-04-06,176.399994,176.600006,174.850006,175.199997,171.129807,7159274
2023-04-10,175.850006,178.000000,175.199997,177.600006,173.474045,10968456
2023-04-11,178.100006,179.750000,176.550003,178.100006,173.962433,9208605
2023-04-12,178.000000,178.300003,175.300003,175.800003,171.715866,7591360
